NYC subway

http://en.wikipedia.org/wiki/New_York_City_Subway

Line 1

Lafayette Avenue 				Clinton–Washington Avenues
Clinton–Washington Avenues			Franklin Avenue 			
Franklin Avenue 				Nostrand Avenue
Nostrand Avenue 				Kingston–Throop Avenues
Kingston–Throop Avenues 			Utica Avenue
Utica Avenue 					Ralph Avenue
Ralph Avenue 					Rockaway Avenue
Rockaway Avenue 				Broadway Junction		
Broadway Junction 				Liberty Avenue
Liberty Avenue 					Van Siclen Avenue
Van Siclen Avenue 				Shepherd Avenue
Shepherd Avenue 				Euclid Avenue

Line D

Norwood–205th Street				Bedford Park Boulevard 			
Bedford Park Boulevard 				Kingsbridge Road
Kingsbridge Road 				Fordham Road
Fordham Road 					182nd–183rd Streets
182nd–183rd Streets				Tremont Avenue 	
Tremont Avenue					174th–175th Streets
174th–175th Streets 				170th Street
170th Street 					167th Street
167th Street 					161st Street–Yankee Stadium
161st Street–Yankee Stadium			155th Street
155th Street 					145th Street
145th Street 					125th Street	
125th Street 					59th Street–Columbus Circle
59th Street–Columbus Circle			Seventh Avenue
Seventh Avenue 					47th–50th Streets–Rockefeller Center
47th–50th Streets–Rockefeller Center		42nd Street–Bryant Park
42nd Street–Bryant Park	      			34th Street–Herald Square
34th Street–Herald Square			West Fourth Street–Washington Square 
West Fourth Street–Washington Square 		Broadway–Lafayette Street
Broadway–Lafayette Street     			Grand Street 
Grand Street 	   				DeKalb Avenue
DeKalb Avenue 					Atlantic Avenue–Pacific Street
Atlantic Avenue–Pacific Street			Union Street
Union Street 					Ninth Street
Ninth Street 					Prospect Avenue
Prospect Avenue 				25th Street
25th Street 					36th Street
36th Street 					Ninth Avenue
Ninth Avenue 					Fort Hamilton Parkway
Fort Hamilton Parkway 				50th Street
50th Street 					55th Street
55th Street 					62nd Street
62nd Street 					71st Street
71st Street 					79th Street
79th Street 					20th Avenue
20th Avenue 					Bay Parkway
Bay Parkway 					25th Avenue
25th Avenue 					Bay 50th Street
Bay 50th Street 				Coney Island–Stillwell
Avenue

Line E

Jamaica–179th Street				Parsons Boulevard
Parsons Boulevard 				Jamaica Center–Parsons/Archer
Jamaica Center–Parsons/Archer			Sutphin Boulevard–Archer Avenue–JFK Airport
Sutphin Boulevard–Archer Avenue–JFK Airport	Jamaica–Van Wyck
Jamaica–Van Wyck 	 	    		Briarwood–Van Wyck Boulevard
Briarwood–Van Wyck Boulevard			Kew Gardens–Union Turnpike
Kew Gardens–Union Turnpike			75th Avenue 	
75th Avenue 					Forest Hills–71st Avenue
Forest Hills–71st Avenue			67th Avenue
67th Avenue	  				63rd Drive–Rego Park
63rd Drive–Rego Park 				Woodhaven Boulevard
Woodhaven Boulevard 				Grand Avenue–Newtown
Grand Avenue–Newtown 				Elmhurst Avenue
Elmhurst Avenue 				Jackson Heights–Roosevelt Avenue
Jackson Heights–Roosevelt Avenue		65th Street
65th Street 		  			Northern Boulevard
Northern Boulevard 				46th Street
46th Street 					Steinway Street
Steinway Street 				36th Street
36th Street 					Queens Plaza		
Queens Plaza					23rd Street–Ely Avenue
23rd Street–Ely Avenue 				Lexington Avenue–53rd Street
Lexington Avenue–53rd Street			Fifth Avenue/53rd Street
Fifth Avenue/53rd Street			Seventh Avenue
Seventh Avenue	  				50th Street 		
50th Street					42nd Street–Port Authority Bus Terminal
42nd Street–Port Authority Bus Terminal		34th Street–Penn Station
34th Street–Penn Station       			23rd Street
23rd Street	 				14th Street
14th Street					West Fourth Street–Washington Square
