Name	Latitude	 Longitude	Date	Line
Pyeongchon	37.394297	126.963847	1993	Line 4
Beomgye	37.38965	126.950614	1993	Line 4
Geumjeong	37.3725	126.943333	1988	Line 4
Sanbon	37.358049	126.933095	1988	Line 4
Surisan	37.349605	126.925306	1988	Line 4
Daeyami	37.328545	126.91734	1988	Line 4
Banwol	37.31218	126.903484	1988	Line 4
Sangnoksu	37.302797	126.866448	1988	Line 4
HanyangUniv-Ansan	37.309772	126.853581	1988	Line 4
Jungang	37.315958	126.838642	1988	Line 4
Gojan	37.316817	126.823128	1988	Line 4
Gongdan	37.320299	126.806265	1988	Line 4
Ansan	37.327163	126.788562	1985	Line 4
SingilOncheon	37.338513	126.765302	1985	Line 4
Jeongwang	37.351631	126.743098	1985	Line 4
Oido	37.362163	126.737782	2000	Line 4
Banghwa	37.5775	126.812778	1996	Line 5
Gaehwasan	37.572222	126.806111	1996	Line 5
GimpoAirport	37.5625	126.800833	1996	Line 5
Songjeong	37.561111	126.811944	1996	Line 5
Magok	37.560224	126.824734	1996	Line 5
Balsan	37.558611	126.837222	1996	Line 5
Ujangsan	37.548889	126.836389	1996	Line 5
Hwagok	37.541667	126.840278	1996	Line 5
Kkachisan	37.531667	126.846667	1996	Line 5
Sinjeong	37.525018	126.856256	1996	Line 5
Mok-dong	37.52609	126.864828	1996	Line 5
Omokgyo	37.524512	126.875144	1996	Line 5
Yangpyeong	37.525579	126.886109	1996	Line 5
Yeongdeungpo-guOffice	37.524039	126.89622	1996	Line 5
YeongdeungpoMarket	37.522686	126.90505	1996	Line 5
Singil	37.516944	126.9175	1996	Line 5
Yeouido	37.521661	126.924271	1996	Line 5
Yeouinaru	37.527124	126.93294	1996	Line 5
Mapo	37.539545	126.945906	1996	Line 5
Gongdeok	37.543876	126.95098	1996	Line 5
Aeogae	37.553454	126.956667	1996	Line 5
Chungjeongno	37.56	126.963611	1996	Line 5
Seodaemun	37.565637	126.9665	1996	Line 5
Gwanghwamun	37.571594	126.976574	1996	Line 5
Jongno3-ga	37.57	126.991667	1996	Line 5
Euljiro4-ga	37.566667	126.998056	1996	Line 5
DongdaemunStadium	37.565	127.007778	1996	Line 5
Cheonggu	37.560211	127.013755	1996	Line 5
Singeumho	37.554555	127.020455	1996	Line 5
Haengdang	37.557434	127.029666	1996	Line 5
Wangsimni	37.561667	127.037778	1995	Line 5
Majang	37.5661	127.042905	1995	Line 5
Dapsimni	37.566823	127.052642	1995	Line 5
Janghanpyeong	37.56144	127.064588	1995	Line 5
Gunja	37.557124	127.079469	1995	Line 5
Achasan	37.552161	127.08949	1995	Line 5
Gwangnaru	37.545326	127.103459	1995	Line 5
Cheonho	37.538517	127.123767	1995	Line 5
